18
 0.20111E+02; 0.24926E+00; 0.29888E+02; 0.20026E+01; 0.28517E+01; 0.16869E+02; 0.79946E+02; 0.92578E+00; 0.25006E+00; 0.20141E+02; 0.55536E+05; 0.25297E+02; 0.40698E+02; 0.89992E+00; 0.39743E-02; 0.31921E-01;-0.29784E-03;-0.69391E+00; normal    
 0.19894E+02; 0.25092E+00; 0.30245E+02; 0.19812E+01; 0.28846E+01; 0.17186E+02; 0.80111E+02; 0.90593E+00; 0.24993E+00; 0.19891E+02; 0.56496E+05; 0.24871E+02; 0.40641E+02; 0.90658E+00;-0.28574E-01; 0.57305E-02; 0.15421E-02;-0.30651E+00; normal    
 0.19898E+02; 0.24989E+00; 0.30166E+02; 0.20027E+01; 0.28543E+01; 0.17041E+02; 0.79943E+02; 0.89685E+00; 0.24854E+00; 0.20062E+02; 0.56426E+05; 0.24904E+02; 0.40680E+02; 0.89792E+00; 0.31185E-02;-0.37107E-02;-0.54325E-04;-0.20265E+00; normal    
 0.20074E+02; 0.25004E+00; 0.30069E+02; 0.19911E+01; 0.28164E+01; 0.16968E+02; 0.80049E+02; 0.89997E+00; 0.25379E+00; 0.19975E+02; 0.56262E+05; 0.24884E+02; 0.40695E+02; 0.90774E+00;-0.14165E-01; 0.36287E-03; 0.53157E-02;-0.88893E+00; normal    
 0.20124E+02; 0.24755E+00; 0.29903E+02; 0.20029E+01; 0.28595E+01; 0.17141E+02; 0.79862E+02; 0.89962E+00; 0.25000E+00; 0.20137E+02; 0.56071E+05; 0.25640E+02; 0.40610E+02; 0.90028E+00; 0.39897E-02; 0.35452E-02;-0.18927E-02; 0.12045E+00; normal    
 0.20273E+02; 0.25033E+00; 0.29896E+02; 0.19940E+01; 0.28874E+01; 0.16927E+02; 0.80297E+02; 0.90225E+00; 0.25072E+00; 0.20261E+02; 0.56688E+05; 0.25217E+02; 0.40303E+02; 0.89882E+00;-0.93356E-02; 0.85183E-02; 0.74510E-03;-0.72194E+00; normal    
 0.20008E+02; 0.25207E+00; 0.29882E+02; 0.20009E+01; 0.28473E+01; 0.17318E+02; 0.80079E+02; 0.89825E+00; 0.24976E+00; 0.19869E+02; 0.55641E+05; 0.25666E+02; 0.40240E+02; 0.89697E+00; 0.89606E-03; 0.14280E-01;-0.22463E-02; 0.52105E+00; normal    
 0.20043E+02; 0.25055E+00; 0.30070E+02; 0.19848E+01; 0.28663E+01; 0.17166E+02; 0.80110E+02; 0.89855E+00; 0.24905E+00; 0.20001E+02; 0.56774E+05; 0.25162E+02; 0.40607E+02; 0.89755E+00;-0.22163E-01;-0.30560E-02;-0.66039E-03;-0.34346E+00; normal    
 0.19756E+02; 0.24596E+00; 0.30098E+02; 0.19963E+01; 0.28536E+01; 0.17084E+02; 0.80044E+02; 0.90242E+00; 0.24817E+00; 0.20222E+02; 0.56251E+05; 0.25286E+02; 0.40875E+02; 0.90794E+00;-0.44805E-02;-0.13316E-02;-0.21228E-02;-0.28863E+00; normal    
 0.19799E+02; 0.24904E+00; 0.29925E+02; 0.20002E+01; 0.28537E+01; 0.17262E+02; 0.79954E+02; 0.89906E+00; 0.24963E+00; 0.19891E+02; 0.56253E+05; 0.24661E+02; 0.40522E+02; 0.89174E+00; 0.17324E-02; 0.36113E-02; 0.21434E-02; 0.37432E+00; normal    
